"","X","Year","Month","Longitude","Latitude","Elevation","MaxTemp","MinTemp","Rainfall"
"1",1,2000,1,78.125,9.83521,122,30.7679677419355,19.9522258064516,40.554995
"2",2,2000,2,78.125,9.83521,122,33.3948620689655,21.873,90.623476
"3",3,2000,3,78.125,9.83521,122,37.1601935483871,22.3267741935484,4.916384
"4",4,2000,4,78.125,9.83521,122,41.3573,25.7856333333333,17.049406
"5",5,2000,5,78.125,9.83521,122,40.1172903225807,26.5549032258065,56.258585
"6",6,2000,6,78.125,9.83521,122,37.1256333333333,24.9339333333333,13.542367
"7",7,2000,7,78.125,9.83521,122,38.0298064516129,23.9100322580645,10.198403
"8",8,2000,8,78.125,9.83521,122,35.9251935483871,24.5823548387097,30.802062
"9",9,2000,9,78.125,9.83521,122,36.4823,24.6859666666667,208.933354
"10",10,2000,10,78.125,9.83521,122,34.8461612903226,23.6896774193548,208.344614
"11",11,2000,11,78.125,9.83521,122,31.4237,22.0560333333333,115.332427
"12",12,2000,12,78.125,9.83521,122,29.8093225806452,20.0083870967742,59.901244
"13",13,2001,1,78.125,9.83521,122,31.1912580645161,20.9703225806452,32.667168
"14",14,2001,2,78.125,9.83521,122,35.3986071428571,20.2316071428571,7.637223
"15",15,2001,3,78.125,9.83521,122,38.4882580645161,21.8681935483871,4.681207
"16",16,2001,4,78.125,9.83521,122,36.9985666666667,24.9303333333333,87.361051
"17",17,2001,5,78.125,9.83521,122,40.9237419354839,26.8767419354839,21.292879
"18",18,2001,6,78.125,9.83521,122,36.3766666666667,25.1210333333333,53.642463
"19",19,2001,7,78.125,9.83521,122,37.4993225806452,25.1144516129032,102.971123
"20",20,2001,8,78.125,9.83521,122,36.3302258064516,24.7060967741935,2.986913
"21",21,2001,9,78.125,9.83521,122,37.5641333333333,24.8219666666667,66.025258
"22",22,2001,10,78.125,9.83521,122,33.5586774193548,24.2767419354839,182.456307
"23",23,2001,11,78.125,9.83521,122,31.1457,22.8542,229.440882
"24",24,2001,12,78.125,9.83521,122,29.7830322580645,20.9245483870968,36.379337
"25",25,2002,1,78.125,9.83521,122,31.9305161290323,20.2635161290323,13.375855
"26",26,2002,2,78.125,9.83521,122,32.6876428571429,20.7812142857143,66.832933
"27",27,2002,3,78.125,9.83521,122,37.8698064516129,21.809935483871,11.935612
"28",28,2002,4,78.125,9.83521,122,39.3102,25.2334666666667,24.305531
"29",29,2002,5,78.125,9.83521,122,39.9504838709677,26.7483225806452,82.416349
"30",30,2002,6,78.125,9.83521,122,37.4299666666667,25.8016333333333,45.013047
"31",31,2002,7,78.125,9.83521,122,38.7888387096774,24.961935483871,22.358887
"32",32,2002,8,78.125,9.83521,122,37.2331290322581,24.7886129032258,23.404316
"33",33,2002,9,78.125,9.83521,122,39.7328333333333,24.8951666666667,14.287382
"34",34,2002,10,78.125,9.83521,122,33.8595161290323,24.2140322580645,194.997031
"35",35,2002,11,78.125,9.83521,122,30.9047666666667,22.8703,176.176067
"36",36,2002,12,78.125,9.83521,122,31.1122258064516,20.6715806451613,19.662096
"37",37,2003,1,78.125,9.83521,122,32.2892580645161,20.0031612903226,9.216493
"38",38,2003,2,78.125,9.83521,122,35.0407857142857,21.8919642857143,19.979672
"39",39,2003,3,78.125,9.83521,122,37.4157096774193,22.3550322580645,22.844694
"40",40,2003,4,78.125,9.83521,122,39.5793,24.9687,12.091828
"41",41,2003,5,78.125,9.83521,122,41.0092580645161,27.3842580645161,26.352595
"42",42,2003,6,78.125,9.83521,122,38.1574,26.3062333333333,83.324437
"43",43,2003,7,78.125,9.83521,122,36.5313870967742,25.5938387096774,58.423251
"44",44,2003,8,78.125,9.83521,122,36.141935483871,25.0336451612903,40.275182
"45",45,2003,9,78.125,9.83521,122,38.7360666666667,24.6374333333333,26.619524
"46",46,2003,10,78.125,9.83521,122,33.4667419354839,24.2543548387097,198.835349
"47",47,2003,11,78.125,9.83521,122,29.4505333333333,22.6048666666667,181.816002
"48",48,2003,12,78.125,9.83521,122,31.2048064516129,20.7426451612903,7.561683
"49",49,2004,1,78.125,9.83521,122,32.3448387096774,20.0469677419355,27.746498
"50",50,2004,2,78.125,9.83521,122,35.2763793103448,19.633724137931,13.290025
"51",51,2004,3,78.125,9.83521,122,39.3461290322581,21.3548387096774,17.486283
"52",52,2004,4,78.125,9.83521,122,40.3470333333333,25.9364666666667,50.683872
"53",53,2004,5,78.125,9.83521,122,36.1160967741935,25.7281612903226,166.508091
"54",54,2004,6,78.125,9.83521,122,36.5412666666667,24.7682666666667,34.994887
"55",55,2004,7,78.125,9.83521,122,37.6367741935484,24.5516451612903,32.261188
"56",56,2004,8,78.125,9.83521,122,38.2674838709677,24.9078064516129,17.130947
